State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.37230	1.37285	1.36677	1.35847	1.36400	1.36179	1.35073	1.35239	1.35847	1.35460	1.37727	1.37285	1.37340	1.35184	1.35682	1.34410	1.34520	1.34133	1.33470	1.32530	1.31867
2	0.59436	0.59329	0.59319	0.59441	0.59357	0.59296	0.59557	0.59650	0.59958	0.60909	0.62168	0.63175	0.63926	0.64831	0.65801	0.67069	0.68141	0.69116	0.69857	0.70710	0.71652
3	1.41669	1.45042	1.48934	1.44523	1.43744	1.45820	1.50490	1.49453	1.44004	1.39074	1.27138	1.23247	1.24803	1.24544	1.27138	1.27657	1.31549	1.35182	1.38555	1.37517	1.37517
4	3.77944	3.81072	3.82239	3.83313	3.85554	3.85694	3.87375	3.86628	3.83967	3.80838	3.76450	3.66318	3.60342	3.51518	3.42367	3.32516	3.20143	3.10666	2.99834	2.92364	2.82372
5	1.91293	1.93335	1.93806	1.90351	1.87838	1.84540	1.82969	1.81870	1.79514	1.69305	1.57840	1.57212	1.55170	1.51715	1.43705	1.36481	1.36481	1.36481	1.37423	1.36010	1.38522
6	0.76141	0.73058	0.71279	0.71160	0.72583	0.71990	0.70211	0.68907	0.67365	0.68551	0.70686	0.69974	0.69855	0.71872	0.74718	0.75667	0.74006	0.75074	0.76971	0.76853	0.76378
7	4.98665	4.76022	4.53378	4.55951	4.30735	4.15297	3.81846	3.54572	3.45309	3.39133	3.11344	3.13917	3.22151	3.15461	3.22151	3.25238	3.31414	3.34502	3.24724	3.24724	3.25238
8	3.90963	3.89662	3.98119	3.72749	3.75351	3.78603	3.77302	3.62991	3.60389	3.23309	2.92734	2.80375	2.57606	2.77122	2.75170	2.93385	2.92734	2.94686	3.05745	3.16804	3.14852
9	1.19474	1.16503	1.18828	1.24511	1.28515	1.33036	1.28773	1.34715	1.41173	1.44918	1.45048	1.46727	1.46081	1.48148	1.46081	1.39881	1.45564	1.45177	1.53314	1.51247	1.53701
10	1.42322	1.48683	1.48153	1.47093	1.42057	1.47888	1.57164	1.68826	1.69091	1.64850	1.60610	1.69886	1.69356	1.71211	1.71741	1.74921	1.68826	1.61405	1.58489	1.60345	1.59020
