State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	2.27562	2.30295	2.31515	2.31905	2.29416	2.21950	2.09017	1.86813	1.63973	1.42940	1.33180	1.33277	1.46405	1.63681	1.80322	1.92425	1.99550	2.04186	2.05406	2.05943	2.03893
2	0.73562	0.72154	0.70347	0.67487	0.63565	0.57997	0.50605	0.42222	0.36007	0.32801	0.31410	0.31435	0.32957	0.34929	0.37522	0.40723	0.43781	0.46349	0.48082	0.49403	0.50695
3	1.10845	1.17715	1.22982	1.21150	1.23899	1.20921	1.18402	1.09699	1.08096	1.11990	1.14280	1.19547	1.21837	1.20234	1.19776	1.17715	1.17944	1.15196	1.11761	1.06722	1.06493
4	0.72653	0.67831	0.62721	0.59053	0.54397	0.50482	0.45866	0.42281	0.39396	0.38036	0.37542	0.38449	0.40056	0.42075	0.44960	0.48545	0.55592	0.62927	0.71540	0.81018	0.90496
5	2.90834	2.87507	2.75447	2.52712	2.09323	1.59279	1.19771	0.97453	0.83868	0.79293	0.84838	0.88581	0.91492	1.08404	1.78548	3.36857	5.28159	6.60822	7.42195	7.84198	7.95149
6	1.46764	1.37866	1.25304	1.10963	0.95261	0.78302	0.62600	0.52655	0.47944	0.44699	0.40303	0.37372	0.39884	0.44385	0.55167	0.79558	1.26979	1.82566	2.35744	2.74581	3.06404
7	5.63241	6.70893	8.38503	10.61528	13.94022	18.48249	24.02861	31.11909	39.14074	43.20152	48.42059	56.16970	56.27872	53.52156	47.92094	38.99084	29.61560	22.40702	16.75643	12.94547	10.18831
8	4.46139	5.03557	6.21839	8.26822	11.59847	16.40437	24.45440	33.53795	39.45777	44.09141	42.14494	33.24512	30.01248	27.49756	24.19027	20.21120	14.83685	10.47307	7.61365	5.70162	4.34081
9	1.90158	2.04637	2.15809	2.44310	2.65971	2.97322	2.95270	2.60726	1.96770	1.63481	1.43303	1.21984	1.06023	1.12522	1.32814	1.51055	1.58351	1.54133	1.53563	1.44557	1.32472
10	1.44335	1.48546	1.60009	1.56967	1.72407	1.78255	1.81530	1.89250	1.80361	1.52523	1.31235	1.26323	1.13690	1.01526	0.97549	1.02228	1.12053	1.14626	1.17433	1.26089	1.41528
