State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	6.28832	1.83135	1.20756	0.90262	1.37742	1.33184	2.04762	0.99900
2	74.56582	0.16066	0.50339	0.78673	0.62175	0.31411	0.51981	1.17789
3	1.33998	3.26811	1.39606	0.74204	1.27152	1.14283	1.15839	0.79369
4	7.44681	0.28669	4.31037	2.18137	3.76349	0.37543	0.57001	0.28569
5	2.21375	0.70569	2.10523	2.29085	1.57857	0.84841	2.63266	0.07555
6	2.93155	0.57822	0.64944	2.25788	0.70693	0.40304	1.05735	0.17883
7	0.67561	51.72231	8.53044	1.86249	3.11376	48.41754	24.34197	0.15362
8	0.53447	56.56986	6.65599	1.20082	2.92765	42.14623	19.04693	0.48192
9	2.69184	0.45666	1.14705	1.10388	1.45063	1.43307	1.88941	0.47307
10	1.31184	0.24721	1.47022	1.41789	1.60626	1.31239	1.46949	0.28223
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
