State (Emission order)	H3k36me3	H4k20me1	H3k79me2	H3k9ac	H3k27ac	H3k4me1	H2az	H3k4me3	H3k27me3	H3k9me3
1	4.082795530395498E-5	0.005555816369820275	2.8106214829947486E-4	0.0015106362606387086	1.9031736896508644E-4	0.004004376981853831	0.003878630244457218	0.0011310610749168833	0.15968230046823473	0.028390440846639626
2	0.0012312428766235537	0.0012384290295212085	3.784146623787621E-4	6.869999633890402E-4	6.975774351140261E-26	3.2250083637961637E-4	0.001717377342566571	1.3480455931127132E-4	0.0026850318088662652	0.006830522912146463
3	0.010876154414789337	0.012502200003681425	0.002732195867975716	0.004368790902516351	0.0015844509891505163	0.0016381866108941062	0.0035770507164849166	0.0025866629872863056	0.014626570696343611	0.2995426176224178
4	0.4136117617637947	0.007211302288618948	0.02903378536898015	0.0033536312467625598	0.0015433687564192738	0.010051268063629545	9.208339045310878E-4	3.3699030497893854E-4	1.2600371754279644E-4	0.013374649881127453
5	0.3624938834773905	0.1311999438186459	0.8699172166487122	0.026218762689299277	0.03994906905321619	0.184400693077801	0.005389295088265478	0.03336861631796418	2.576597676297221E-4	0.021229882638408793
6	0.04570140213001996	0.016299948749563146	0.31413383857836413	0.0019010538828139766	2.891177917445112E-4	0.015620427888608724	0.0014494670602119273	3.802510755958773E-4	2.8961950725441183E-4	0.00789752566373484
7	0.04574995876396084	0.03379474549273715	0.6231350821908144	0.8887851161761686	0.6997712591048362	0.19374751468656276	0.6478085623229806	0.9767938147492308	0.015971784785512082	0.027770730041801545
8	0.0010168145149257013	0.00315247932116902	0.02883726282500782	0.17261620739767658	0.030488337135688128	0.19181508789380194	0.6931826497563227	0.7853297387127117	0.10878692464151522	0.06172160815673153
9	0.006189504957265171	0.0066455146640332	0.005883239486736505	0.028327441750390717	0.06255568742257304	0.38218144012099825	0.25864146956611506	0.005070415235338084	0.0020549740917555764	0.019464828742990856
10	0.0719934491918759	0.02339161324700921	0.0965562844865167	0.4754819090739517	0.9270917519566156	0.7489253128452911	0.41157241802300343	0.10751217997585637	5.760355385304225E-4	0.018690729718591544
